"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
77,"32",1,1,"[""1""]","$1.200,00","2.200","$1.000,00",1,"2022-07-15 13:13:10.0","2022-07-15 13:13:10.0"
78,"048933",2,3,"[""3""]","$3.000,00","0","0",1,"2022-07-15 13:13:44.0","2022-07-15 13:13:44.0"
79,"495022",2,3,"[""3""]","$4.050,00","0","0",1,"2022-07-15 13:43:14.0","2022-07-15 13:43:14.0"
80,"33",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-15 14:12:34.0","2022-07-15 14:12:34.0"
81,"34",1,2,"[""1"", ""1""]","$300,00","300","$0,00",1,"2022-07-15 15:09:42.0","2022-07-15 15:09:42.0"
82,"35",1,1,"[""1""]","$1.800,00","10.000","$8.200,00",1,"2022-07-15 15:13:43.0","2022-07-15 15:13:43.0"
83,"2500",2,2,"[""1"", ""1""]","$2.500,00","0","0",1,"2022-07-15 18:22:51.0","2022-07-15 18:22:51.0"
84,"826115",2,2,"[""1"", ""1""]","$2.800,00","0","0",1,"2022-07-15 19:31:31.0","2022-07-15 19:31:31.0"
85,"1600",2,2,"[""2""]","$1.600,00","0","0",1,"2022-07-15 20:20:00.0","2022-07-15 20:20:00.0"
86,"124427",2,4,"[""1"", ""1"", ""2""]","$5.300,00","0","0",1,"2022-07-16 14:42:47.0","2022-07-16 14:42:47.0"
87,"427883",2,3,"[""1"", ""2""]","$2.300,00","0","0",1,"2022-07-16 16:45:02.0","2022-07-16 16:45:02.0"
88,"36",1,3,"[""1"", ""1"", ""1""]","$4.800,00","10.000","$5.200,00",1,"2022-07-16 18:11:19.0","2022-07-16 18:11:19.0"
89,"914989",2,2,"[""1"", ""1""]","$1.300,00","0","0",1,"2022-07-16 18:30:17.0","2022-07-16 18:30:17.0"
92,"002074",2,542,"[""542""]","$1.192,00","0","0",1,"2022-07-16 18:54:46.0","2022-07-16 18:54:46.0"
